Company Name,Market_Cap,P/E,Avg_ROE,NPM
Aedes,850.7333333333332,1348.4166666666667,26.970833333333335,36.533333333333324
Allied Properties (HK) Ltd.,2615.025,16.479999999999997,8.290000000000001,6.2525
Anna Infrastructures Ltd,658.5583333333333,17.609999999999996,16.949999999999996,7.8516666666666675
Arihant Foundations & Hou,850.4,8.290000000000001,17.529999999999998,8.838333333333336
Aspen Group Ltd,863.5500000000001,16.949999999999996,16.45,61.909166666666664
Audi AG,2547.983333333333,29.09500000000001,29.49916666666667,56.90833333333333
BSEL Infrastructure Realty Ltd,863.5500000000001,15.949999999999996,9.836666666666666,29.63
BYD Co Ltd,1697.5166666666667,17.529999999999998,68.32916666666668,43.465
Bharat Petroleum Corp Ltd,551.7333333333333,16.199999999999996,29.09500000000001,-4.993333333333332
Brookfield Asset,442.43333333333334,17.529999999999998,8.823333333333334,25.669999999999998
CLP Holdings Limited,692.7083333333334,16.949999999999996,16.909999999999997,8.666666666666668
Cognizant,813.0833333333334,15.949999999999996,72.36666666666669,51.04749999999999
Computacenter PLC,855.5,29.09500000000001,29.09500000000001,46.678333333333335
Dominion Resources Inc.,548.9916666666667,29.09500000000001,11.613333333333332,7.175000000000001
Dongfeng Motor Group Co Ltd,656.0833333333334,16.949999999999996,27.35916666666667,42.74583333333334
Dr. Reddy's,549.25,15.354999999999997,16.28333333333333,38.8125
Fiat Group,951.0,8.290000000000001,28.24333333333334,52.199999999999996
Ford Motor,5688.527500000001,16.699999999999996,29.000833333333343,8.666666666666668
Fortune Oil PLC,2578.0499999999997,139.8725,618.8583333333333,36.533333333333324
GCL-Poly Energy,666.7916666666666,17.529999999999998,17.44333333333333,9.245000000000001
Geely Automobile Holdings Ltd,559.0833333333334,29.09500000000001,27.496666666666673,47.612500000000004
General Motors Company,5525.735000000001,28.32666666666667,71.89166666666668,23.687499999999996
Glaxo Smith,559.6,16.449999999999996,17.61333333333333,38.22
HCL Technologies Ltd,1674.4166666666667,16.45,29.193333333333342,47.585
Hindustan Petroleum Corp Ltd,659.0333333333333,142.37249999999997,551.68,8.155000000000001
Hyundai Motor Co,3235.775,29.217500000000005,29.09500000000001,56.4175
IBM,2570.6666666666665,29.09500000000001,72.73500000000001,37.16583333333333
Igate,477.2833333333333,15.354999999999997,68.52333333333335,37.7725
Indian Oil Corp Ltd,952.7083333333334,17.90166666666666,29.09500000000001,-5.383333333333332
Infosys Ltd,3885.8333333333335,29.09500000000001,28.26083333333334,31.845833333333335
MindTree Ltd,913.0833333333334,17.17583333333333,28.755833333333342,43.873333333333335
NHPC Ltd,261.96666666666664,29.09500000000001,17.446666666666662,39.24583333333333
NewOcean Energy Holdings Ltd.,664.0083333333333,1365.0833333333333,29.12083333333334,7.926666666666669
NextEra Energy Inc.,545.4833333333333,28.32666666666667,16.199999999999996,9.091666666666667
PG&E Corporation,257.56666666666666,29.09500000000001,16.479999999999997,9.658333333333335
PPL Corporation,267.72499999999997,29.217500000000005,17.609999999999996,7.368333333333333
Phillips 66,452.3916666666667,139.03916666666666,473.4916666666666,8.575000000000001
Power Grid Corporation,873.8083333333334,17.17583333333333,16.67333333333333,30.021666666666665
Ranbaxy,436.6666666666667,16.45,17.269999999999996,30.429166666666664
Reliance Industries Ltd,2757.3916666666664,17.151666666666664,28.24333333333334,55.431666666666665
Reliance Infrastructure Ltd,664.35,8.290000000000001,10.516666666666666,8.735833333333334
Renault SA,1732.5166666666667,29.09500000000001,71.30833333333335,57.34833333333333
Tata Consultancy Services Ltd,5523.447499999999,28.32666666666667,69.27333333333335,27.748333333333335
Tata Motors Limited,2650.5666666666666,70.70000000000002,29.09500000000001,32.31583333333332
Tata Power Co. Ltd.,260.2416666666667,29.09500000000001,16.116666666666664,-5.383333333333332
Tech Mahindra Ltd,638.9166666666666,16.449999999999996,29.193333333333342,40.42
Tesoro Corporation,937.2833333333333,1407.75,29.09500000000001,6.292500000000001
Ultrapar Holdings Inc.,1699.2166666666665,32.069166666666675,28.800000000000008,4.007499999999999
Valero Energy Corp,455.7749999999999,139.85333333333332,29.000833333333343,4.596666666666667
Wipro Ltd,1572.2083333333333,29.217500000000005,29.057500000000005,38.527499999999996
